Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,overall
1994,322217,325840,321558,306355,371732,406419,404522,365071,334646,342763,288003,274905,260887,240384,216660,137995,105597,76656,5102210
1995,318326,324381,320657,307839,357280,398224,408374,374895,335724,350732,290098,275537,259592,240343,210921,145014,106255,79498,5103690
1996,310083,323540,319167,310447,340447,391424,406627,382132,339815,355173,296607,272999,258713,239204,208528,151233,104975,81076,5092190
1997,302705,323775,320169,315234,322052,378990,405780,388562,347412,340147,318212,273212,258064,239909,206046,158406,101993,82672,5083340
1998,296391,320702,323384,318316,309443,363331,402281,394317,355099,334198,330088,276440,260501,239765,205719,164503,97814,84778,5077070
1999,290311,318450,324619,317675,307382,346028,396509,399086,363114,332566,337997,280771,262370,238709,205711,170164,94352,86136,5071950
2000,283213,313342,322884,317896,309605,329972,386733,403058,371304,333356,345863,282993,263236,238638,206574,166177,100435,87661,5062940
2001,276261,305813,322923,317605,315395,314885,381237,403232,378888,338208,350883,290138,261551,239464,207178,165616,106129,88794,5064200
2002,269784,300341,322994,318594,323176,301388,370635,402702,386186,346196,337014,311948,262178,239601,209211,164386,111946,87720,5066000
2003,265124,295752,320033,320922,328490,293178,358583,400342,392871,353632,331546,323990,265506,242219,210215,164579,116211,85307,5068500
2004,263725,292012,318895,322550,330116,295046,344896,396818,399112,362082,330384,332800,270604,244668,210492,165495,120416,84189,5084300
2005,265494,288076,315456,322788,335667,302798,334064,390035,406046,370864,331859,341282,273453,245840,211563,167298,118256,89361,5110200
2006,267887,283176,310396,325046,338427,312153,321753,386490,407675,378713,336583,346378,280548,244329,212774,168617,118180,93875,5133000
2007,274307,277032,306907,329271,341579,326534,311583,379780,409130,387047,345038,333022,302741,245594,213870,171605,118251,96709,5170000
2008,282076,272218,303788,329127,346685,336480,306527,369874,407778,395209,352726,327680,314971,249403,216897,173548,119216,98697,5202900
2009,287506,269584,300139,332321,348701,339974,309453,357521,404027,401606,361126,326055,323312,254007,219659,174779,120838,101292,5231900
2010,290920,269598,295701,331826,353723,342901,315516,346915,396734,408456,369104,327270,331314,256983,221092,177100,123136,103911,5262200
2011,293586,270900,290266,326831,365580,346349,323786,336101,393664,410769,377317,331924,336463,264413,220367,179144,125396,107044,5299900
2012,295790,275597,281578,318936,371337,347332,332937,321989,385471,410266,384707,339296,322623,285745,221543,180599,128627,109227,5313600
2013,294043,282697,275132,313499,370277,352075,340709,314110,374276,407817,392436,346422,317309,297382,224920,183543,130325,110728,5327700
2014,291857,288721,271899,308271,368541,357558,343682,314957,360888,403678,398635,354653,315810,305577,229635,186414,132443,114381,5347600
2015,291174,292356,272142,303983,367670,363886,347900,320137,349825,395818,405293,362820,316998,312955,232326,187569,134341,115807,5373000
2016,287238,298862,274378,298660,363967,374124,351913,327753,337638,392251,406691,370821,321552,317524,239019,186846,136418,119045,5404700
2017,282106,301951,280097,290040,356609,382248,355080,339053,325033,385070,407049,378886,329011,305066,259530,188262,137893,121816,5424800
2018,276862,301089,287790,284564,350624,382340,361258,347997,317522,374287,404687,386660,336306,300413,270965,191102,140258,123376,5438100
