Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,overall,Gender
1992,166259,163441,162816,162971,199511,203836,193169,171885,169510,159687,136685,130215,123732,109721,84595,56834,33669,16736,2445272,Male
1993,164842,165369,164684,156268,193651,203104,196471,175316,166627,166124,138338,131468,123160,109357,87945,53925,34339,17431,2448419,Male
1994,164426,166660,164001,155119,186360,201257,198943,179636,166098,170359,140886,132359,122462,108931,91454,51736,34586,18069,2453342,Male
1995,162513,166081,163383,155845,178301,196854,200010,184345,166287,174457,142361,132886,122181,108955,89757,55000,35110,19027,2453353,Male
1996,158511,165674,162507,157307,169460,193276,198514,187139,168162,176466,146191,131672,121988,108452,89326,57959,34741,19675,2447020,Male
1997,154898,165907,163278,159435,160124,186130,197710,190198,171565,168794,157294,132063,121993,108940,88470,61235,33908,20380,2442322,Male
1998,151918,164004,165345,161242,153381,178086,195554,192441,174603,165810,163547,133705,123608,109114,88777,64003,32486,21367,2438991,Male
1999,148906,162755,166252,160629,152526,168959,192661,194100,178079,164792,167562,136279,124690,108942,89140,66703,31557,22003,2436535,Male
2000,145456,160183,165676,160763,153980,160324,187143,195327,181675,164889,171579,137772,125330,109408,89656,65831,34294,22640,2431926,Male
2001,141772,156355,165739,161133,157709,153121,184182,194690,184558,167225,173938,141979,124622,110255,90240,66194,36973,23048,2433733,Male
2002,138065,153941,165258,161713,161587,147693,177985,193980,188397,170747,166979,153154,125143,110807,91331,66284,39462,23109,2435635,Male
2003,135548,151685,163173,163119,164212,144059,172591,192892,191248,173722,164047,159571,126696,112478,92220,66979,41206,22642,2438088,Male
2004,134862,149860,162385,163627,164297,145520,166125,191459,193846,177265,163167,164007,129677,113994,92866,67843,43154,22649,2446603,Male
2005,135760,148061,160762,163755,166191,150184,161217,188034,196955,181428,163556,168352,131514,114800,94054,68864,43004,24783,2461274,Male
2006,137217,145123,158340,164918,167588,155093,156119,186369,197674,184889,165714,170640,135791,114216,95182,69986,43618,26587,2475064,Male
2007,140722,141761,157162,166983,169206,161787,152341,182812,198440,189195,169636,163962,147226,115216,96172,71659,44341,27938,2496559,Male
2008,144692,139130,155933,166337,172243,166471,150373,178646,197860,193031,173009,161168,153784,117206,98042,73096,45318,28959,2515298,Male
2009,147206,137905,154190,168180,173236,167578,152292,173318,196330,195844,176802,160230,157967,119951,99806,74243,46443,30448,2531969,Male
2010,148348,137817,152066,168204,175899,168508,155672,168606,192402,199061,180720,160413,162272,121877,100834,75977,47655,31887,2548218,Male
2011,149746,138593,148766,166371,182095,170392,159644,164469,190873,200208,184697,162760,164628,126415,100664,77388,49182,33409,2570300,Male
2012,150987,141136,144068,163062,184746,170889,163308,158147,186196,199539,188246,166209,157787,137350,101629,78407,50914,34670,2577290,Male
2013,150199,144631,140632,160678,184436,173961,167010,154242,181344,198047,191861,169365,155007,143600,103392,80230,52256,35789,2586680,Male
2014,149338,147327,139039,158060,183477,176937,167889,154773,175280,195858,194419,173045,154113,147638,106187,81962,53622,37566,2596530,Male
2015,149284,148894,139159,155767,183161,180793,170000,157465,170160,191565,197222,177071,154247,151487,107922,82703,55020,38549,2610469,Male
2016,147527,152292,140381,152614,181688,186149,172305,161268,164929,189422,197429,180737,156406,153467,111869,82515,56201,40304,2627503,Male
2017,145116,154124,143480,148274,179137,190376,174490,166226,159473,185460,197378,184607,159938,147373,122353,83611,57034,41850,2640300,Male
2018,142579,153846,147266,145405,177287,190532,177941,170749,155575,180561,195869,188052,163243,145014,128355,85041,58324,43112,2648751,Male
1911,262710,256026,243031,227950,215768,203684,185277,165656,144474,124265,108078,87340,70337,57820,47641,28052,12656,6267,2447032,Female
1912,258976,254346,243080,226490,211382,200346,184567,166852,146455,125185,109398,89582,72443,58181,47108,28598,12978,6286,2442253,Female
1913,256598,252030,242902,225991,207690,195714,183021,167484,148157,126561,110011,91667,74330,59156,46755,28514,13222,6183,2435986,Female
1914,255939,250708,243751,227707,208043,193908,182977,168630,150521,128698,111067,93422,75821,59856,46322,28833,13511,6276,2445990,Female
1915,254738,249798,245030,230564,210711,194372,184056,170156,153172,131320,112411,95040,76948,60209,45834,29066,13908,6346,2463679,Female
1916,249640,248762,246153,233374,213876,195783,185327,171915,155810,134356,114100,96701,78105,61111,45296,29351,14338,6385,2480383,Female
1917,242445,247446,246964,235750,216973,197792,186499,173555,158194,137514,116120,98555,79329,61890,45296,29158,14867,6552,2494899,Female
1918,232317,246339,247346,238010,220219,200430,187549,175422,160359,140828,118550,100447,81190,63111,45900,29402,15594,7059,2510072,Female
1919,219507,245597,246785,239150,222364,202042,187540,176493,161874,143492,120785,101652,82535,63670,46076,29119,15944,7318,2511943,Female
1920,226786,243726,245152,239600,224280,202914,185707,175965,162739,145888,123124,102890,84287,65044,47274,29596,15880,7556,2528408,Female
1921,234728,236792,243400,239259,225684,203817,183310,173791,162605,147746,125340,104130,85359,66560,48610,30468,15838,7418,2534855,Female
1922,243861,229311,241728,237783,225955,204575,181815,172447,162963,148852,126501,106314,85686,68266,49896,30690,15871,7773,2540287,Female
1923,251746,217604,238530,236066,226221,203501,183432,169437,163401,147958,129892,106410,87280,69258,50648,30055,16452,7687,2535578,Female
1924,260247,205510,236009,235285,224753,202363,182212,169235,160151,151077,130351,109224,88277,71985,50043,31026,17145,7830,2532723,Female
1925,248900,211860,233971,234157,224030,202810,186441,165910,161863,149788,135007,108033,91463,71907,51456,30177,17680,7352,2532805,Female
1926,241821,217881,227579,232505,223706,202749,184600,167438,159574,151107,135168,111371,91338,74827,52528,31559,17686,7853,2531290,Female
1927,233562,226931,219475,230190,221706,201771,185579,166882,157922,151247,136609,112465,93722,75454,54173,32273,18134,7735,2525830,Female
1928,226305,237173,208434,227937,219715,202987,184944,168406,156216,152293,136521,115303,95261,77011,55845,33317,17915,7807,2523390,Female
1929,216405,242456,197262,226212,220048,203077,185425,168167,157877,150705,139201,116376,97544,77805,58107,33249,17809,7880,2515605,Female
1930,213139,231492,204117,224543,218079,203067,184987,171659,155615,152604,138159,119821,97069,80251,58992,34024,16547,7962,2512127,Female
1931,209748,226312,211268,220130,215785,202487,187248,172262,157769,150694,139834,122474,100090,80693,60179,35691,16705,8088,2517457,Female
1932,207958,220824,220345,213542,217336,205679,189426,174724,159872,151218,141132,125994,101624,82727,60330,37713,16627,7869,2534940,Female
1933,205014,216889,229672,206621,216723,207764,193153,175041,162907,151312,143237,127088,104380,84372,60594,38840,16960,8019,2548586,Female
1934,202758,212500,237676,198215,216793,210505,195567,177446,163058,153391,142894,130023,105987,85719,61148,40085,17085,8090,2558940,Female
1935,201315,209257,231473,201615,215812,211848,197678,179068,167641,151674,145252,129266,110270,85442,63085,40065,18468,8270,2567499,Female
1936,199967,205104,225266,209765,213009,211628,198156,183159,167956,152991,144547,131625,111942,86724,64372,40946,18933,8319,2574409,Female
1937,198402,202632,218958,218104,207671,212090,200032,184059,169458,154445,144294,132209,114730,87663,65768,40520,20106,8560,2579701,Female
1938,198221,200246,214875,227321,200873,211182,201328,187134,169408,157145,144219,134273,115224,90074,66730,40343,20556,8868,2588020,Female
1939,198341,197549,210176,235000,194288,208834,203569,189048,171558,156990,146312,133837,118075,91345,68069,40653,21657,9142,2594443,Female
1940,200660,197407,208528,231127,193709,210355,205691,193811,175723,162606,147177,135785,117396,97238,69971,43701,21114,9100,2621099,Female
1941,205101,202142,208538,226357,199238,210485,207317,196657,181359,165339,149110,137288,120113,100025,72192,45980,21534,9457,2658232,Female
1942,202918,200806,205573,214735,188762,194803,206597,198182,184748,168739,151637,138091,121349,102095,73866,48075,23065,9596,2633637,Female
1943,205221,201357,204122,205548,164683,176643,203330,199277,189250,170642,155212,139402,123715,102678,76618,50529,25557,9634,2603418,Female
1944,206733,202323,201985,206798,168550,160704,199516,202337,193936,174026,157279,142201,124687,105112,78898,51937,27032,9915,2613969,Female
1945,206470,201942,200446,204891,172058,155773,195388,202690,195186,175925,160874,141663,126618,104678,81463,51765,28100,10460,2616390,Female
1946,206222,198036,196547,199318,186203,162532,189994,200456,194139,178918,161905,141952,126522,105034,81796,52155,29700,10963,2622392,Female
1947,212199,191835,190244,196088,194430,193422,191682,198358,188724,177332,157133,140735,125861,107720,82984,50907,27204,12003,2638861,Female
1948,218869,193307,191094,193794,193822,199647,181437,197141,189690,179853,158235,142038,126675,107922,84725,52127,27915,12641,2650932,Female
1949,223230,194162,192015,191417,191681,204298,171179,195203,190972,180846,159980,142237,127205,107425,85716,53454,27979,13278,2652277,Female
1950,227522,194053,192034,190054,191688,197686,174790,195185,190163,181718,162789,144770,126425,108119,86019,55368,28146,13667,2660196,Female
1951,230491,196836,190434,188534,191837,192642,179848,189385,190376,180966,167085,145287,127152,109039,85666,56526,28063,13575,2663742,Female
1952,218855,209564,188560,185674,190158,188355,185527,183216,190730,181141,169014,147681,128248,109747,86505,58463,28548,14073,2664059,Female
1953,213122,215301,188860,184392,186397,185958,191256,174208,189700,182290,171539,149192,130064,110865,86986,59881,29421,14510,2663942,Female
1954,210712,218602,190014,184123,182881,183810,196356,165676,188453,184166,173127,151784,131324,112234,87598,60884,30627,14905,2667276,Female
1955,210262,221999,190225,183591,179805,182374,189047,169026,188791,183911,174192,154471,134168,111868,88467,61043,32007,14902,2670149,Female
1956,211588,224153,192335,181617,176575,180451,184094,174021,183923,184832,174039,158281,135441,112978,89687,61569,33172,15210,2673966,Female
1957,214695,212810,204664,180859,174200,177971,179400,179158,177653,184778,174517,160234,137803,114254,90657,62645,34501,15709,2676508,Female
1958,218796,207574,210311,182665,174164,175060,176678,184400,168975,183947,175649,162584,139272,115834,91499,63042,35103,16107,2681660,Female
1959,222978,205267,213756,185032,175038,172428,174527,188933,160867,182835,177398,164367,141549,117069,92664,63385,35523,16509,2690125,Female
1960,226355,204475,217090,185660,174960,169366,172303,181489,163614,182941,177170,165649,143825,120089,92748,64492,35979,17764,2695969,Female
1961,229733,205974,218684,187726,173602,165797,169359,175872,168051,177774,178123,165546,146763,121392,93951,65426,36377,18393,2698543,Female
1962,232904,209088,206559,197551,173005,164939,168051,171940,173265,171769,177949,166389,148811,123381,94959,66161,37050,18890,2702661,Female
1963,234435,212662,200690,200457,173463,165160,166102,169452,178215,163422,177194,167652,151303,124627,96426,67246,37267,19591,2705364,Female
1964,235530,215932,197790,201035,173097,164965,163599,167208,182157,155481,175973,169307,153236,126596,97637,69043,38219,20595,2707400,Female
1965,236415,218899,196974,202655,171013,163820,161015,165748,174963,158337,175647,169479,154613,128915,99850,69395,39572,21393,2708703,Female
1966,233707,221173,198498,202999,170092,160704,158350,163851,170195,162694,170720,170109,155337,131764,101040,70148,40797,22057,2704235,Female
1967,231220,223340,201537,192711,178480,158097,156429,161958,166204,167277,165212,169603,156385,133770,103145,71395,42158,22979,2701900,Female
1968,227877,224879,205291,189193,182407,157772,155693,159850,163945,172081,157024,168726,157547,136619,104341,72606,43080,23478,2702409,Female
1969,223565,226823,209085,188881,185230,158076,155273,157406,161899,176059,149407,167603,158992,138551,106511,73379,44631,24154,2705525,Female
1970,218206,228557,212676,189844,189396,157283,154091,154824,160859,168935,152506,166721,159320,139812,108944,74755,45027,25269,2707025,Female
1971,215520,228343,216342,193450,193253,158829,152062,153381,159824,165355,157221,162897,160057,141550,112318,76690,45587,27215,2719894,Female
1972,208916,227115,219458,196377,184416,169614,150885,151801,158079,161821,161656,158189,159555,142414,114047,78617,46537,27800,2717297,Female
1973,201358,224919,222335,200931,181900,175185,151590,151530,156247,160005,166567,150491,158880,143517,116754,80158,47479,28642,2718488,Female
1974,192266,221231,225538,205387,182422,179960,153867,152079,154171,158559,170837,143392,158197,145067,118794,82140,48045,29595,2721547,Female
1975,183165,215987,227992,208776,181770,183925,154534,151833,151804,157918,164203,146859,157537,145577,120095,84682,49198,30284,2716139,Female
1976,174210,212957,227505,213126,184633,187462,157535,150647,150745,156535,160731,151040,153687,145510,121322,87036,50299,31155,2716135,Female
